iter	Passed	Remaining
0	155	15427
1	159	7811
2	167	5410
3	170	4086
4	174	3322
5	181	2840
6	186	2473
7	190	2185
8	194	1966
9	197	1777
10	200	1624
11	203	1490
12	206	1378
13	208	1282
14	210	1193
15	212	1114
16	214	1045
17	215	983
18	217	926
19	219	877
20	221	831
21	223	792
22	225	754
23	227	719
24	228	686
25	230	656
26	232	627
27	234	602
28	236	577
29	238	556
30	241	536
31	243	516
32	244	496
33	246	478
34	248	460
35	250	444
36	252	429
37	254	414
38	257	402
39	259	389
40	262	377
41	263	364
42	265	352
43	268	341
44	269	329
45	273	320
46	275	310
47	277	300
48	278	290
49	280	280
50	282	271
51	284	262
52	286	254
53	288	246
54	290	237
55	292	229
56	294	222
57	295	214
58	297	206
59	299	199
60	301	192
61	302	185
62	305	179
63	306	172
64	308	166
65	310	160
66	312	153
67	314	147
68	315	141
69	317	136
70	319	130
71	321	124
72	322	119
73	324	113
74	326	108
75	328	103
76	330	98
77	332	93
78	333	88
79	336	84
80	338	79
81	340	74
82	342	70
83	344	65
84	346	61
85	348	56
86	350	52
87	352	48
88	354	43
89	357	39
90	358	35
91	360	31
92	361	27
93	363	23
94	364	19
95	366	15
96	368	11
97	369	7
98	371	3
99	372	0
