class,gill_spore,bruises_odor,gill-color,odor,pop_habitat,spore-print-color,ring-type,gill-size,cap_gill_color,stalk-surface-above-ring,bruises,stalk-surface-below-ring,population,stalk-root,habitat,gill-spacing,stalk-color-above-ring,stalk-color-below-ring,cap_shape_surface,stalk-shape
0,12,16,4,6,35,2,4,1,44,2,1,2,3,2,5,0,7,7,52,0
1,3,10,4,0,21,3,4,0,94,2,1,2,2,1,1,0,7,7,52,0
1,3,13,5,3,23,3,4,0,85,2,1,2,2,1,3,0,7,7,2,0
0,12,16,5,6,35,2,4,1,85,2,1,2,3,2,5,0,7,7,53,0
1,3,5,4,5,1,3,0,0,34,2,0,2,0,2,1,1,7,7,52,1
1,2,10,5,0,21,2,4,0,95,2,1,2,2,1,1,0,7,7,53,0
1,2,10,2,0,23,2,4,0,82,2,1,2,2,1,3,0,7,7,2,0
1,3,13,5,3,33,3,4,0,85,2,1,2,3,1,3,0,7,7,3,0
0,12,16,7,6,41,2,4,1,87,2,1,2,4,2,1,0,7,7,53,0
1,2,10,2,0,33,2,4,0,92,2,1,2,3,1,3,0,7,7,2,0
1,3,13,2,3,21,3,4,0,92,2,1,2,2,1,1,0,7,7,53,0
1,2,10,5,0,33,2,4,0,95,2,1,2,3,1,3,0,7,7,53,0
1,3,10,10,0,31,3,4,0,100,2,1,2,3,1,1,0,7,7,2,0
0,13,16,4,6,45,3,4,1,84,2,1,2,4,2,5,0,7,7,53,0
1,2,5,5,5,1,2,0,0,45,2,0,0,0,2,1,1,7,7,50,1
1,13,5,4,5,55,3,4,1,34,2,0,2,5,2,5,0,7,7,40,0
1,3,5,4,5,1,3,0,0,84,2,0,2,0,2,1,1,7,7,20,1
0,12,16,5,6,31,2,4,1,45,2,1,2,3,2,1,0,7,7,52,0
0,13,16,5,6,35,3,4,1,85,2,1,2,3,2,5,0,7,7,53,0
0,13,16,4,6,35,3,4,1,44,2,1,2,3,2,5,0,7,7,52,0
1,3,10,4,0,33,3,4,0,94,2,1,2,3,1,3,0,7,7,2,0
0,13,16,5,6,41,3,4,1,45,2,1,2,4,2,1,0,7,7,53,0
1,3,13,4,3,33,3,4,0,94,2,1,2,3,1,3,0,7,7,3,0
1,3,10,10,0,23,3,4,0,90,2,1,2,2,1,3,0,7,7,3,0
1,2,13,2,3,33,2,4,0,82,2,1,2,3,1,3,0,7,7,2,0
0,13,16,5,6,41,3,4,1,85,2,1,2,4,2,1,0,7,7,22,0
1,3,10,5,0,23,3,4,0,95,2,1,2,2,1,3,0,7,7,53,0
1,3,13,10,3,23,3,4,0,90,2,1,2,2,1,3,0,7,7,53,0
1,12,5,4,5,55,2,4,1,44,2,0,2,5,2,5,0,7,7,20,0
1,13,10,5,0,40,3,4,1,95,2,1,2,4,0,0,1,7,7,52,1
1,3,13,2,3,23,3,4,0,92,2,1,2,2,1,3,0,7,7,2,0
